TimeDetected,TimeReset,UnitTitle,Remark,UnitTitleDestination
2016-01-01 00:15:44+00:00,,T01,External power ref.:2000kW,
2016-01-01 00:45:43+00:00,,T01,External power ref.:2000kW,
2016-01-01 01:15:43+00:00,,T01,External power ref.:2000kW,
2016-01-01 01:45:43+00:00,,T01,External power ref.:2000kW,
2016-01-01 06:11:02+00:00,,T01,External power ref.:2000kW,
2016-01-01 06:41:02+00:00,,T01,External power ref.:2000kW,
2016-01-01 07:11:02+00:00,,T01,External power ref.:2000kW,
2016-01-01 07:41:02+00:00,,T01,External power ref.:2000kW,
2016-01-01 08:15:01+00:00,,T01,External power ref.:2000kW,
2016-01-01 08:41:17+00:00,,T01,External power ref.:2000kW,
2016-01-01 09:11:17+00:00,,T01,External power ref.:2000kW,
2016-01-01 09:19:04+00:00,,T01,External power ref.:2000kW,
2016-01-01 09:43:25+00:00,,T01,External power ref.:2000kW,
2016-01-01 10:26:53+00:00,,T01,External power ref.:2000kW,
2016-01-01 10:38:22+00:00,,T01,External power ref.:2000kW,
2016-01-01 11:08:22+00:00,,T01,External power ref.:2000kW,
2016-01-01 11:38:21+00:00,,T01,External power ref.:2000kW,
2016-01-01 12:08:21+00:00,,T01,External power ref.:2000kW,
2016-01-01 12:38:21+00:00,,T01,External power ref.:2000kW,
2016-01-01 13:08:21+00:00,,T01,External power ref.:2000kW,
2016-01-01 13:38:20+00:00,,T01,External power ref.:2000kW,
2016-01-01 14:08:20+00:00,,T01,External power ref.:2000kW,
2016-01-01 14:38:20+00:00,,T01,External power ref.:2000kW,
2016-01-01 15:08:20+00:00,,T01,External power ref.:2000kW,
2016-01-01 15:38:19+00:00,,T01,External power ref.:2000kW,
2016-01-01 16:08:19+00:00,,T01,External power ref.:2000kW,
2016-01-01 16:38:19+00:00,,T01,External power ref.:2000kW,
2016-01-01 17:08:18+00:00,,T01,External power ref.:2000kW,
2016-01-01 17:38:18+00:00,,T01,External power ref.:2000kW,
2016-01-01 18:08:18+00:00,,T01,External power ref.:2000kW,
2016-01-01 18:38:17+00:00,,T01,External power ref.:2000kW,
2016-01-01 19:08:17+00:00,,T01,External power ref.:2000kW,
2016-01-01 19:38:17+00:00,,T01,External power ref.:2000kW,
2016-01-01 20:08:17+00:00,,T01,External power ref.:2000kW,
2016-01-01 20:38:16+00:00,,T01,External power ref.:2000kW,
2016-01-01 21:08:16+00:00,,T01,External power ref.:2000kW,
2016-01-01 21:38:16+00:00,,T01,External power ref.:2000kW,
2016-01-01 22:08:16+00:00,,T01,External power ref.:2000kW,
2016-01-01 22:38:15+00:00,,T01,External power ref.:2000kW,
2016-01-01 23:08:15+00:00,,T01,External power ref.:2000kW,
2016-01-01 23:38:15+00:00,,T01,External power ref.:2000kW,
